event-id,visible,timestamp,location-long,location-lat,acceleration-x,acceleration-y,acceleration-z,gps:activity-count,comments,external-temperature,gps:satellite-count,ground-speed,gsm:gsm-signal-strength,height-above-ellipsoid,import-marked-outlier,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
1112716414,true,2015-12-16 06:00:00.000,39.464616,7.137349,,,,365,"STBU02",32.0,,,23,,,4140.0,"gps","Ciconia ciconia","48511832023","Belcho","White Stork Bulgaria"
1112716415,true,2015-12-16 09:00:00.000,39.471516,7.142499,,,,365,"STBU02",38.0,,,23,,,4140.0,"gps","Ciconia ciconia","48511832023","Belcho","White Stork Bulgaria"
1112716416,true,2015-12-16 12:00:00.000,39.469916,7.143799,,,,365,"STBU02",39.0,,,23,,,4140.0,"gps","Ciconia ciconia","48511832023","Belcho","White Stork Bulgaria"
1112716417,true,2015-12-16 15:00:00.000,39.432716,7.159116,,,,365,"STBU02",30.0,,,23,,,4140.0,"gps","Ciconia ciconia","48511832023","Belcho","White Stork Bulgaria"
1112716418,true,2015-12-16 18:00:00.000,39.432366,7.158983,,,,62,"STBU02",28.0,,,18,,,4110.0,"gps","Ciconia ciconia","48511832023","Belcho","White Stork Bulgaria"
1112716419,true,2015-12-16 21:00:00.000,39.432499,7.15895,,,,62,"STBU02",27.0,,,18,,,4110.0,"gps","Ciconia ciconia","48511832023","Belcho","White Stork Bulgaria"
1112716420,true,2015-12-17 00:00:00.000,39.432532,7.158966,,,,62,"STBU02",26.0,,,18,,,4110.0,"gps","Ciconia ciconia","48511832023","Belcho","White Stork Bulgaria"
1112716421,true,2015-12-17 03:00:00.000,39.432416,7.158966,,,,62,"STBU02",26.0,,,18,,,4110.0,"gps","Ciconia ciconia","48511832023","Belcho","White Stork Bulgaria"
1112716422,true,2015-12-17 06:00:00.000,39.463916,7.144283,,,,365,"STBU02",32.0,,,21,,,4140.0,"gps","Ciconia ciconia","48511832023","Belcho","White Stork Bulgaria"
1112716423,true,2015-12-17 09:00:00.000,39.492349,7.148116,,,,365,"STBU02",26.0,,,21,,,4140.0,"gps","Ciconia ciconia","48511832023","Belcho","White Stork Bulgaria"
1112716424,true,2015-12-17 12:00:00.000,39.481099,7.15215,,,,365,"STBU02",36.0,,,21,,,4140.0,"gps","Ciconia ciconia","48511832023","Belcho","White Stork Bulgaria"
1112716425,true,2015-12-17 15:00:00.000,39.427866,7.148049,,,,365,"STBU02",28.0,,,21,,,4140.0,"gps","Ciconia ciconia","48511832023","Belcho","White Stork Bulgaria"
1112716426,true,2015-12-17 18:00:00.000,39.427432,7.1502,,,,82,"STBU02",28.0,,,18,,,4110.0,"gps","Ciconia ciconia","48511832023","Belcho","White Stork Bulgaria"
1112716427,true,2015-12-17 21:00:00.000,39.427699,7.150133,,,,82,"STBU02",27.0,,,18,,,4110.0,"gps","Ciconia ciconia","48511832023","Belcho","White Stork Bulgaria"
1112716428,true,2015-12-18 00:00:00.000,39.427466,7.150066,,,,82,"STBU02",26.0,,,18,,,4110.0,"gps","Ciconia ciconia","48511832023","Belcho","White Stork Bulgaria"
1112716429,true,2015-12-18 03:00:00.000,39.427716,7.150183,,,,82,"STBU02",25.0,,,18,,,4110.0,"gps","Ciconia ciconia","48511832023","Belcho","White Stork Bulgaria"
1112716430,true,2015-12-18 06:00:00.000,39.492716,7.164216,,,,429,"STBU02",32.0,,,14,,,4140.0,"gps","Ciconia ciconia","48511832023","Belcho","White Stork Bulgaria"
